file,question,score
n02-sor-et35-p02-c01.txt,Q8,6.80851063829787
n02-sor-et35-p02-c01.txt,Q9,6.19148936170213
n02-sor-et35-p02-c12.txt,Q1,5.83720930232558
n02-sor-et35-p02-c12.txt,Q2,8.18604651162791
n02-sor-et35-p02-c12.txt,Q3,7.13953488372093
n02-sor-et35-p02-c12.txt,Q4,7.43181818181818
n02-sor-et35-p02-c12.txt,Q5,5.7906976744186
n02-sor-et35-p02-c12.txt,Q6,4.47619047619048
n02-sor-et35-p02-c12.txt,Q7,7.62790697674419
n02-sor-et35-p02-c12.txt,Q8,6.65116279069768
n02-sor-et35-p02-c12.txt,Q9,6.61904761904762
n02-sor-et35-p02-c13.txt,Q1,7.78048780487805
n02-sor-et35-p02-c13.txt,Q2,6.21951219512195
n02-sor-et35-p02-c13.txt,Q3,7.29268292682927
n02-sor-et35-p02-c13.txt,Q4,7.90243902439024
n02-sor-et35-p02-c13.txt,Q5,7.75609756097561
n02-sor-et35-p02-c13.txt,Q6,7.48780487804878
n02-sor-et35-p02-c13.txt,Q7,8.04878048780488
n02-sor-et35-p02-c13.txt,Q8,7.82926829268293
n02-sor-et35-p02-c13.txt,Q9,8.02439024390244
n02-sor-et35-p03-c01.txt,Q1,7.3030303030303
n02-sor-et35-p03-c01.txt,Q2,7.51515151515152
n02-sor-et35-p03-c01.txt,Q3,7.39393939393939
n02-sor-et35-p03-c01.txt,Q4,8.09090909090909
n02-sor-et35-p03-c01.txt,Q5,6.84848484848485
n02-sor-et35-p03-c01.txt,Q6,6.45454545454545
n02-sor-et35-p03-c01.txt,Q7,7.39393939393939
n02-sor-et35-p03-c01.txt,Q8,7.3030303030303
n02-sor-et35-p03-c01.txt,Q9,6.17241379310345
n02-sor-et35-p03-c02.txt,Q1,7.27272727272727
n02-sor-et35-p03-c02.txt,Q2,7.13636363636364
n02-sor-et35-p03-c02.txt,Q3,7.20454545454545
n02-sor-et35-p03-c02.txt,Q4,7.86363636363636
n02-sor-et35-p03-c02.txt,Q5,7.59090909090909
n02-sor-et35-p03-c02.txt,Q6,6.86363636363636
